Name,Class,Subject,Marks,Age
Grace,C,Math,108,20
Tina,A,Science,11,
Oscar,B,Science,27,20
Kathy,A,Science,98,22
Hannah,C,English,40,24
,C,Math,-3,20
Grace,B,Math,16,16
Steve,A,Math,16,
Kathy,C,English,10,
Kathy,B,Science,19,16
,C,Science,86,17
David,C,Math,17,21
Hannah,A,Science,100,24
Charlie,C,Science,50,23
,A,English,37,20
Bob,C,English,-7,16
Leo,B,English,24,22
Frank,C,English,38,20
Bob,A,Math,6,21
,A,English,35,22
Alice,B,Science,106,18
Leo,C,Math,-5,
Leo,C,Science,88,18
Quincy,B,Science,113,20
Jack,C,Science,26,21
Paul,C,English,13,24
Oscar,A,English,82,20
Oscar,C,Math,35,16
Steve,C,Math,84,19
Leo,B,English,88,20
Tina,B,Science,105,
Charlie,A,Math,56,
Eve,C,English,117,20
Steve,C,English,7,22
Grace,C,English,14,19
,A,Science,43,16
Ian,A,English,47,20
Grace,B,English,56,22
Rachel,A,English,93,
David,C,English,13,
Nina,C,Math,103,21
Rachel,A,Math,21,20
Ian,C,English,75,19
,C,Science,116,17
Bob,A,Math,119,19
Tina,A,English,6,
Oscar,C,Math,93,
Grace,C,Math,32,18
Leo,C,Science,28,
Hannah,B,English,15,16
Oscar,B,English,88,23
Charlie,B,Science,39,20
Nina,A,Science,2,19
Quincy,B,English,49,23
David,A,English,46,22
Rachel,A,Science,25,17
Hannah,B,Math,9,16
David,B,Math,54,19
Bob,B,Science,-3,23
Frank,C,Math,104,17
Jack,B,Science,81,18
David,C,Math,87,16
Rachel,A,Math,55,16
Leo,C,English,21,18
Bob,B,English,75,20
Jack,A,Math,40,18
David,A,Math,52,16
Nina,A,English,114,16
Paul,C,English,47,23
Oscar,B,English,47,
Hannah,A,Science,75,17
Nina,A,Math,38,18
Hannah,A,English,59,17
,C,Math,4,18
Paul,C,Science,43,22
Mona,B,Science,90,16
Rachel,C,English,-3,
Oscar,A,Science,42,23
,B,Math,49,
Mona,A,English,97,
Ian,A,Math,-6,
Oscar,C,Math,92,17
Mona,B,Science,-5,18
Alice,C,Science,98,24
Grace,C,Science,105,22
Ian,B,Science,83,19
Alice,A,Science,36,
Leo,A,English,88,20
Hannah,B,Math,44,17
Kathy,A,Math,41,23
Steve,B,Math,2,19
Quincy,B,Math,103,24
Hannah,C,Science,113,20
Charlie,B,Math,95,24
Charlie,C,English,109,19
Alice,A,English,52,
Eve,A,Math,8,20
Jack,A,Math,81,24
Grace,A,English,47,23
Ian,C,English,79,18
